	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
	spk_r4	spk_r5	spk_r6	spk_r7	col_r4	col_r5	col_r6	col_r7	lib_r4	lib_r5	lib_r6	lib_r7
VARIABLES	spk	spk	spk	spk	col	col	col	col	lib	lib	lib	lib
												
spk	.	.	.	.								
	(.)	(.)	(.)	(.)								
	[. - .]	[. - .]	[. - .]	[. - .]								
	.	.	.	.								
	0.055	0.066	0.056	0.060	0.109	0.098	0.126	0.087	0.001	0.001	0.001	0.001
4.hhsize	0.053	0.078	0.053	0.063	-0.161	-0.150	-0.150	-0.179	-0.711	-0.749	-0.703	-0.722
	(0.286)	(0.285)	(0.288)	(0.287)	(0.342)	(0.344)	(0.342)	(0.341)	(0.284)	(0.287)	(0.283)	(0.284)
	[-0.508 - 0.615]	[-0.480 - 0.637]	[-0.512 - 0.618]	[-0.500 - 0.625]	[-0.830 - 0.509]	[-0.823 - 0.524]	[-0.820 - 0.520]	[-0.846 - 0.489]	[-1.267 - -0.155]	[-1.311 - -0.187]	[-1.258 - -0.147]	[-1.279 - -0.165]
	0.852	0.784	0.855	0.828	0.638	0.663	0.660	0.600	0.012	0.009	0.013	0.011
5.hhsize	-0.082	-0.052	-0.088	-0.065	-0.329	-0.343	-0.328	-0.387	-0.231	-0.270	-0.234	-0.262
	(0.319)	(0.318)	(0.320)	(0.318)	(0.352)	(0.350)	(0.353)	(0.349)	(0.305)	(0.305)	(0.306)	(0.305)
	[-0.707 - 0.544]	[-0.675 - 0.571]	[-0.716 - 0.540]	[-0.689 - 0.559]	[-1.019 - 0.362]	[-1.029 - 0.342]	[-1.021 - 0.364]	[-1.070 - 0.297]	[-0.828 - 0.367]	[-0.869 - 0.328]	[-0.834 - 0.365]	[-0.860 - 0.337]
	0.798	0.869	0.783	0.838	0.351	0.326	0.353	0.268	0.449	0.376	0.443	0.392
6.hhsize	-0.175	-0.142	-0.182	-0.161	0.068	0.051	0.068	-0.010	-0.658	-0.690	-0.665	-0.680
	(0.325)	(0.324)	(0.326)	(0.326)	(0.329)	(0.330)	(0.329)	(0.326)	(0.296)	(0.299)	(0.297)	(0.299)
	[-0.812 - 0.462]	[-0.777 - 0.492]	[-0.820 - 0.456]	[-0.799 - 0.477]	[-0.578 - 0.713]	[-0.596 - 0.698]	[-0.577 - 0.714]	[-0.650 - 0.629]	[-1.239 - -0.077]	[-1.276 - -0.105]	[-1.247 - -0.082]	[-1.265 - -0.095]
	0.591	0.660	0.575	0.620	0.837	0.878	0.835	0.975	0.026	0.021	0.025	0.023
2.marital	-0.285	-0.282	-0.298	-0.310	0.316	0.310	0.290	0.280	-0.343	-0.350	-0.346	-0.350
	(0.420)	(0.418)	(0.420)	(0.420)	(0.439)	(0.438)	(0.442)	(0.432)	(0.317)	(0.323)	(0.318)	(0.320)
	[-1.108 - 0.538]	[-1.101 - 0.536]	[-1.121 - 0.525]	[-1.133 - 0.512]	[-0.545 - 1.176]	[-0.549 - 1.168]	[-0.577 - 1.156]	[-0.567 - 1.126]	[-0.965 - 0.279]	[-0.982 - 0.283]	[-0.968 - 0.277]	[-0.977 - 0.277]
	0.498	0.499	0.478	0.459	0.472	0.480	0.513	0.517	0.280	0.278	0.276	0.274
3.marital	0.053	0.060	0.039	0.049	-0.167	-0.176	-0.195	-0.202	-0.156	-0.172	-0.162	-0.171
	(0.240)	(0.239)	(0.241)	(0.241)	(0.262)	(0.260)	(0.263)	(0.263)	(0.227)	(0.229)	(0.228)	(0.229)
	[-0.418 - 0.524]	[-0.409 - 0.528]	[-0.433 - 0.512]	[-0.424 - 0.522]	[-0.680 - 0.346]	[-0.686 - 0.334]	[-0.711 - 0.321]	[-0.717 - 0.313]	[-0.602 - 0.289]	[-0.621 - 0.276]	[-0.609 - 0.284]	[-0.618 - 0.277]
	0.824	0.803	0.870	0.839	0.523	0.500	0.459	0.443	0.491	0.451	0.475	0.455
4.marital	1.354	1.375	1.346	1.358	1.419	1.418	1.393	1.353	-0.365	-0.388	-0.397	-0.385
	(0.480)	(0.475)	(0.483)	(0.478)	(0.567)	(0.572)	(0.575)	(0.582)	(0.642)	(0.633)	(0.638)	(0.634)
	[0.412 - 2.296]	[0.443 - 2.306]	[0.400 - 2.292]	[0.422 - 2.294]	[0.308 - 2.529]	[0.296 - 2.539]	[0.266 - 2.520]	[0.213 - 2.493]	[-1.623 - 0.893]	[-1.630 - 0.854]	[-1.647 - 0.853]	[-1.627 - 0.857]
	0.005	0.004	0.005	0.004	0.012	0.013	0.015	0.020	0.569	0.540	0.534	0.544
5.marital	0.070	0.071	0.067	0.060	0.110	0.102	0.120	0.068	-0.189	-0.213	-0.183	-0.178
	(0.231)	(0.230)	(0.230)	(0.230)	(0.266)	(0.266)	(0.264)	(0.262)	(0.233)	(0.233)	(0.234)	(0.232)
