	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
	spk_r4	spk_r5	spk_r6	spk_r7	col_r4	col_r5	col_r6	col_r7	lib_r4	lib_r5	lib_r6	lib_r7
VARIABLES	spk	spk	spk	spk	col	col	col	col	lib	lib	lib	lib
												
spk	.	.	.	.								
	(.)	(.)	(.)	(.)								
	[. - .]	[. - .]	[. - .]	[. - .]								
	.	.	.	.								
6.hhsize	-0.038	-0.033	-0.039	-0.036	0.017	0.012	0.015	0.002	-0.132	-0.139	-0.134	-0.136
	(0.068)	(0.068)	(0.068)	(0.068)	(0.059)	(0.059)	(0.059)	(0.058)	(0.062)	(0.062)	(0.062)	(0.062)
	[-0.172 - 0.095]	[-0.166 - 0.100]	[-0.173 - 0.094]	[-0.169 - 0.098]	[-0.099 - 0.133]	[-0.104 - 0.129]	[-0.100 - 0.130]	[-0.112 - 0.116]	[-0.253 - -0.011]	[-0.261 - -0.017]	[-0.255 - -0.012]	[-0.258 - -0.014]
	0.576	0.629	0.565	0.601	0.770	0.834	0.794	0.973	0.032	0.025	0.031	0.029
2.marital	-0.052	-0.051	-0.054	-0.056	0.052	0.050	0.048	0.044	-0.070	-0.073	-0.072	-0.072
	(0.082)	(0.082)	(0.082)	(0.082)	(0.070)	(0.069)	(0.070)	(0.069)	(0.066)	(0.068)	(0.066)	(0.067)
	[-0.213 - 0.110]	[-0.211 - 0.110]	[-0.216 - 0.107]	[-0.218 - 0.106]	[-0.085 - 0.190]	[-0.086 - 0.186]	[-0.089 - 0.186]	[-0.091 - 0.178]	[-0.200 - 0.060]	[-0.206 - 0.061]	[-0.202 - 0.058]	[-0.203 - 0.060]
	0.530	0.536	0.509	0.497	0.456	0.471	0.491	0.526	0.289	0.285	0.280	0.284
3.marital	0.014	0.016	0.011	0.014	-0.018	-0.020	-0.022	-0.023	-0.028	-0.032	-0.029	-0.031
	(0.048)	(0.048)	(0.049)	(0.048)	(0.038)	(0.038)	(0.038)	(0.038)	(0.046)	(0.046)	(0.046)	(0.046)
	[-0.081 - 0.109]	[-0.079 - 0.110]	[-0.084 - 0.107]	[-0.081 - 0.109]	[-0.093 - 0.057]	[-0.095 - 0.055]	[-0.097 - 0.053]	[-0.098 - 0.052]	[-0.119 - 0.062]	[-0.122 - 0.059]	[-0.119 - 0.061]	[-0.122 - 0.060]
	0.775	0.745	0.817	0.770	0.641	0.605	0.570	0.550	0.538	0.495	0.531	0.502
4.marital	0.271	0.275	0.268	0.271	0.263	0.259	0.259	0.249	-0.074	-0.081	-0.081	-0.080
	(0.094)	(0.092)	(0.094)	(0.092)	(0.107)	(0.107)	(0.107)	(0.106)	(0.137)	(0.137)	(0.136)	(0.136)
	[0.087 - 0.455]	[0.095 - 0.455]	[0.084 - 0.452]	[0.090 - 0.453]	[0.053 - 0.473]	[0.048 - 0.469]	[0.049 - 0.468]	[0.041 - 0.457]	[-0.342 - 0.194]	[-0.349 - 0.187]	[-0.348 - 0.186]	[-0.348 - 0.187]
	0.004	0.003	0.004	0.003	0.014	0.016	0.015	0.019	0.589	0.552	0.554	0.557
5.marital	0.016	0.016	0.016	0.014	0.019	0.017	0.021	0.014	-0.038	-0.045	-0.038	-0.037
	(0.049)	(0.049)	(0.049)	(0.049)	(0.047)	(0.046)	(0.046)	(0.046)	(0.049)	(0.049)	(0.049)	(0.049)
	[-0.079 - 0.112]	[-0.079 - 0.112]	[-0.080 - 0.112]	[-0.081 - 0.110]	[-0.073 - 0.111]	[-0.074 - 0.108]	[-0.071 - 0.112]	[-0.076 - 0.103]	[-0.135 - 0.058]	[-0.141 - 0.051]	[-0.134 - 0.059]	[-0.134 - 0.059]
	0.736	0.736	0.747	0.768	0.690	0.714	0.658	0.767	0.435	0.360	0.446	0.446
6.marital	0.077	0.080	0.077	0.075	0.090	0.088	0.089	0.082	-0.016	-0.019	-0.016	-0.014
	(0.057)	(0.057)	(0.057)	(0.056)	(0.053)	(0.054)	(0.053)	(0.053)	(0.058)	(0.058)	(0.057)	(0.057)
	[-0.034 - 0.189]	[-0.031 - 0.191]	[-0.034 - 0.188]	[-0.036 - 0.186]	[-0.015 - 0.195]	[-0.017 - 0.193]	[-0.015 - 0.194]	[-0.022 - 0.187]	[-0.129 - 0.098]	[-0.132 - 0.094]	[-0.129 - 0.096]	[-0.125 - 0.097]
	0.173	0.158	0.175	0.185	0.092	0.102	0.095	0.123	0.788	0.743	0.776	0.805
2.relig	-0.072	-0.074	-0.076	-0.079	-0.026	-0.024	-0.031	-0.029	0.040	0.039	0.036	0.038
	(0.045)	(0.045)	(0.045)	(0.044)	(0.039)	(0.039)	(0.039)	(0.039)	(0.044)	(0.044)	(0.044)	(0.044)
	[-0.160 - 0.015]	[-0.162 - 0.014]	[-0.163 - 0.012]	[-0.167 - 0.008]	[-0.102 - 0.049]	[-0.100 - 0.053]	[-0.107 - 0.044]	[-0.105 - 0.046]	[-0.047 - 0.126]	[-0.047 - 0.126]	[-0.050 - 0.122]	[-0.049 - 0.124]
	0.106	0.098	0.091	0.074	0.494	0.545	0.418	0.449	0.369	0.370	0.414	0.392
3.relig	-0.172	-0.168	-0.172	-0.162	-0.135	-0.138	-0.139	-0.142	-0.086	-0.095	-0.090	-0.092
	(0.157)	(0.158)	(0.157)	(0.156)	(0.096)	(0.095)	(0.096)	(0.098)	(0.145)	(0.142)	(0.142)	(0.142)
	[-0.481 - 0.136]	[-0.478 - 0.143]	[-0.479 - 0.135]	[-0.467 - 0.144]	[-0.322 - 0.052]	[-0.324 - 0.048]	[-0.327 - 0.049]	[-0.334 - 0.049]	[-0.371 - 0.199]	[-0.372 - 0.183]	[-0.369 - 0.190]	[-0.370 - 0.187]
	0.273	0.289	0.272	0.300	0.158	0.145	0.147	0.145	0.554	0.504	0.529	0.519
