	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
	spk_r1	spk_r2	spk_r3	col_r1	col_r2	col_r3	lib_r1	lib_r2	lib_r3
VARIABLES	spk	spk	spk	col	col	col	lib	lib	lib
									
spk	.	.	.						
	(.)	(.)	(.)						
	[. - .]	[. - .]	[. - .]						
	.	.	.						
	[-0.179 - 0.368]	[-0.170 - 0.381]	[-0.176 - 0.374]	[-0.238 - 0.275]	[-0.229 - 0.285]	[-0.235 - 0.279]	[-0.464 - 0.076]	[-0.465 - 0.098]	[-0.457 - 0.092]
	0.498	0.453	0.480	0.889	0.831	0.865	0.160	0.201	0.191
3.income	-0.026	-0.013	-0.017	-0.022	-0.006	-0.017	-0.198	-0.194	-0.186
	(0.136)	(0.138)	(0.136)	(0.118)	(0.120)	(0.120)	(0.133)	(0.136)	(0.132)
	[-0.293 - 0.241]	[-0.283 - 0.256]	[-0.283 - 0.250]	[-0.254 - 0.211]	[-0.240 - 0.228]	[-0.252 - 0.217]	[-0.459 - 0.063]	[-0.461 - 0.074]	[-0.444 - 0.072]
	0.849	0.922	0.902	0.854	0.960	0.886	0.136	0.156	0.158
4.income	-0.079	-0.073	-0.078	-0.114	-0.110	-0.116	-0.127	-0.127	-0.121
	(0.120)	(0.124)	(0.120)	(0.098)	(0.101)	(0.101)	(0.126)	(0.131)	(0.126)
	[-0.315 - 0.157]	[-0.316 - 0.169]	[-0.314 - 0.157]	[-0.308 - 0.079]	[-0.307 - 0.088]	[-0.313 - 0.081]	[-0.374 - 0.121]	[-0.384 - 0.130]	[-0.367 - 0.126]
	0.511	0.553	0.516	0.245	0.276	0.249	0.316	0.332	0.337
5.income	0.028	0.043	0.027	-0.068	-0.063	-0.071	-0.094	-0.100	-0.105
	(0.119)	(0.122)	(0.120)	(0.098)	(0.099)	(0.099)	(0.118)	(0.123)	(0.117)
	[-0.207 - 0.262]	[-0.196 - 0.281]	[-0.209 - 0.263]	[-0.260 - 0.124]	[-0.257 - 0.130]	[-0.266 - 0.124]	[-0.326 - 0.139]	[-0.341 - 0.142]	[-0.336 - 0.125]
	0.817	0.727	0.823	0.489	0.521	0.474	0.429	0.419	0.369
6.income	-0.071	-0.060	-0.065	-0.055	-0.049	-0.062	-0.176	-0.174	-0.168
	(0.119)	(0.122)	(0.119)	(0.098)	(0.100)	(0.101)	(0.122)	(0.127)	(0.122)
	[-0.304 - 0.162]	[-0.299 - 0.180]	[-0.298 - 0.169]	[-0.247 - 0.137]	[-0.246 - 0.147]	[-0.260 - 0.135]	[-0.415 - 0.064]	[-0.423 - 0.075]	[-0.407 - 0.071]
	0.551	0.625	0.587	0.573	0.622	0.535	0.150	0.171	0.167
7.income	-0.049	-0.032	-0.046	-0.020	-0.014	-0.030	-0.073	-0.078	-0.080
	(0.120)	(0.124)	(0.121)	(0.105)	(0.106)	(0.105)	(0.124)	(0.129)	(0.123)
	[-0.285 - 0.188]	[-0.275 - 0.210]	[-0.283 - 0.192]	[-0.226 - 0.187]	[-0.223 - 0.195]	[-0.235 - 0.176]	[-0.316 - 0.170]	[-0.330 - 0.175]	[-0.322 - 0.162]
	0.687	0.794	0.707	0.852	0.895	0.776	0.556	0.546	0.518
